filename	date	fastq_ftp	plant	is_enriched
SRR18340993_1.fastq.gz	2021-05-31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18340993/SRR18340993_1.fastq.gz	ESC	1
SRR18340993_2.fastq.gz	2021-05-31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18340993/SRR18340993_2.fastq.gz	ESC	1
SRR18340990_1.fastq.gz	2021-06-09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/090/SRR18340990/SRR18340990_1.fastq.gz	ESC	1
SRR18340990_2.fastq.gz	2021-06-09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/090/SRR18340990/SRR18340990_2.fastq.gz	ESC	1
SRR18340992_1.fastq.gz	2021-06-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18340992/SRR18340992_1.fastq.gz	ESC	1
SRR18340992_2.fastq.gz	2021-06-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18340992/SRR18340992_2.fastq.gz	ESC	1
SRR18340991_1.fastq.gz	2021-06-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18340991/SRR18340991_1.fastq.gz	ESC	1
SRR18340991_2.fastq.gz	2021-06-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18340991/SRR18340991_2.fastq.gz	ESC	1
SRR18340987_1.fastq.gz	2021-07-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/087/SRR18340987/SRR18340987_1.fastq.gz	ESC	1
SRR18340987_2.fastq.gz	2021-07-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/087/SRR18340987/SRR18340987_2.fastq.gz	ESC	1
SRR18340989_1.fastq.gz	2021-07-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/089/SRR18340989/SRR18340989_1.fastq.gz	ESC	1
SRR18340989_2.fastq.gz	2021-07-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/089/SRR18340989/SRR18340989_2.fastq.gz	ESC	1
SRR18340988_1.fastq.gz	2021-07-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/088/SRR18340988/SRR18340988_1.fastq.gz	ESC	1
