sample_name,sample_type,nucleotide_type,collection_date,water_control,collection_location,Metadata Name,Rothman Location,is_enriched
SRR14530900,Environmental,RNA,2020-10,No,"California, USA",,SJ,0
SRR14530878,Environmental,RNA,2020-11,No,"California, USA",,JWPC,0
SRR14530867,Environmental,RNA,2020-12,No,"California, USA",,OC,0
SRR14530733,Environmental,RNA,2020-10,No,"California, USA",,PL,0
SRR14530767,Environmental,RNA,2020-08,No,"California, USA",,HTP,0
SRR14530899,Environmental,RNA,2020-08,No,"California, USA",,SJ,0
SRR14530896,Environmental,RNA,2020-09,No,"California, USA",,SJ,0
SRR14530761,Environmental,RNA,2020-10,No,"California, USA",,JW,0
SRR14530731,Environmental,RNA,2020-08,No,"California, USA",,PL,0
SRR14530876,Environmental,RNA,2020-09,No,"California, USA",,JWPC,0
